 -28    2   20   (number of answers: 1), answers: [-10.0]
 -16  -64   17   (number of answers: 1), answers: [0.265625]
  30    0    1    0  -28   (number of answers: 0), answers: []
  44    0  -16    0    0   (number of answers: 1), answers: [0.0]
 -44    0   38    0   66   (number of answers: 0), answers: []
   0  -20  -14   (number of answers: 1), answers: [-0.7]
   0    0  -75   (number of answers: 0), answers: []
 -39    0   51   (number of answers: 0), answers: []
   0   18   (number of answers: 0), answers: []
  15  -24   (number of answers: 1), answers: [1.6]
 -12    0   -4    0   23   (number of answers: 0), answers: []
 -27    0  -36    0  -46   (number of answers: 0), answers: []
  40    0   33    0    0   (number of answers: 1), answers: [0.0]
  12   38   (number of answers: 1), answers: [-3.1666666666666665]
 -24  -24   (number of answers: 1), answers: [-1.0]
 -42   40  -36   (number of answers: 1), answers: [0.9]
  16  -16   14   (number of answers: 1), answers: [0.875]
 -14   -4  -25   (number of answers: 1), answers: [-6.25]
  28    0  -15    0  -36   (number of answers: 0), answers: []
  -4    0  -48    0   66   (number of answers: 0), answers: []
   0    0  -18    0   38   (number of answers: 0), answers: []
  24  -20   (number of answers: 1), answers: [0.8333333333333334]
 -13    4   (number of answers: 1), answers: [0.3076923076923077]
  21  -18    0   (number of answers: 1), answers: [-0.0]
  -2   24   45   (number of answers: 1), answers: [-1.875]
  16  -28   51   (number of answers: 1), answers: [1.8214285714285714]
   0    0  -11    0   -8   (number of answers: 0), answers: []
 -88    0   48    0  -21   (number of answers: 0), answers: []
  72    0  -69    0  -72   (number of answers: 0), answers: []
  72    0   (number of answers: 1), answers: [0.0]
  56  -64   (number of answers: 1), answers: [1.1428571428571428]
  52    0  -30   (number of answers: 0), answers: []
  68  -32  -28   (number of answers: 1), answers: [-0.875]
  72  -28   42   (number of answers: 1), answers: [1.5]
  48  -16  -19   (number of answers: 1), answers: [-1.1875]
  -9    0  -48   (number of answers: 0), answers: []
   0  -45    0   (number of answers: 1), answers: [-0.0]
 -42    0  -36    0   -6   (number of answers: 0), answers: []
 -12    0    0    0  -66   (number of answers: 0), answers: []
   0    0   92    0  -40   (number of answers: 0), answers: []
 -12   54    0   (number of answers: 1), answers: [0.0]
  16   38   15   (number of answers: 1), answers: [-0.39473684210526316]
   0   34  -75   (number of answers: 1), answers: [2.2058823529411766]
   0   14   (number of answers: 0), answers: []
   0   18   (number of answers: 0), answers: []
 100   48   (number of answers: 1), answers: [-0.48]
  -2   19   (number of answers: 1), answers: [9.5]
 -28  -40  -42   (number of answers: 1), answers: [-1.05]
 -21  -72   16   (number of answers: 1), answers: [0.2222222222222222]
 -16   24  -72   (number of answers: 1), answers: [3.0]
   0  -10   (number of answers: 0), answers: []
  39  -63   (number of answers: 1), answers: [1.6153846153846154]
  11   12  -25   (number of answers: 1), answers: [2.0833333333333335]
  11    0    0infinite number of answers
  18  -15    0   (number of answers: 1), answers: [-0.0]
  28    0  -20    0  -24   (number of answers: 0), answers: []
 -45    0   12    0  -13   (number of answers: 0), answers: []
  24    0   28    0    0   (number of answers: 1), answers: [0.0]
 -23    0    8    0  -56   (number of answers: 0), answers: []
   3    0  -38    0  -42   (number of answers: 0), answers: []
   0    0  -20    0   51   (number of answers: 0), answers: []
  -6    0   76    0  -48   (number of answers: 0), answers: []
 -11    0  -52    0    0   (number of answers: 1), answers: [0.0]
  12    0   15    0   -7   (number of answers: 0), answers: []
   0    0  -33    0   40   (number of answers: 0), answers: []
   0    0  -24    0    0   (number of answers: 1), answers: [0.0]
  36    0  -72    0   -6   (number of answers: 0), answers: []
   0    0infinite number of answers
 -17  -68   (number of answers: 1), answers: [-4.0]
   0    0   -7    0    4   (number of answers: 0), answers: []
 -57    0  -48    0  -18   (number of answers: 0), answers: []
   0    0   18    0  -20   (number of answers: 0), answers: []
  63   52    6   (number of answers: 1), answers: [-0.11538461538461539]
 -15   14  -34   (number of answers: 1), answers: [2.4285714285714284]
 -28   52    0   (number of answers: 1), answers: [0.0]
 -18  -38   (number of answers: 1), answers: [-2.111111111111111]
  10   -8   (number of answers: 1), answers: [0.8]
  39   24   (number of answers: 1), answers: [-0.6153846153846154]
  33  -24   (number of answers: 1), answers: [0.7272727272727273]
  42    0  -40    0    0   (number of answers: 1), answers: [0.0]
  12    0  -24    0    0   (number of answers: 1), answers: [0.0]
  51    0  -69    0  -64   (number of answers: 0), answers: []
  69  -42   36   (number of answers: 1), answers: [0.8571428571428571]
 -84  -33   -8   (number of answers: 1), answers: [-0.24242424242424243]
  -3  -72   32   (number of answers: 1), answers: [0.4444444444444444]
  40  -20   63   (number of answers: 1), answers: [3.15]
   6   26    0   (number of answers: 1), answers: [0.0]
 -38    0    0infinite number of answers
 -40    0    0    0    0infinite number of answers
  38    0  -36    0   20   (number of answers: 0), answers: []
 -24    0   36    0   18   (number of answers: 0), answers: []
 -44    0  -42    0  -32   (number of answers: 0), answers: []
   0    0   10    0    0   (number of answers: 1), answers: [0.0]
 -23    0    0    0    0infinite number of answers
  13  -21   (number of answers: 1), answers: [1.6153846153846154]
   0   26   (number of answers: 0), answers: []
   4  -63   (number of answers: 1), answers: [15.75]
 -84  -14   (number of answers: 1), answers: [-0.16666666666666666]
  76  -46   (number of answers: 1), answers: [0.6052631578947368]
  40  -28   (number of answers: 1), answers: [0.7]
 -54    9   (number of answers: 1), answers: [0.16666666666666666]
 -17    0   (number of answers: 1), answers: [-0.0]
   0  -64  -21   (number of answers: 1), answers: [-0.328125]
  36   42  -69   (number of answers: 1), answers: [1.6428571428571428]
 -28    4   26   (number of answers: 1), answers: [-6.5]
 -40  -51   (number of answers: 1), answers: [-1.275]
 -34   96   (number of answers: 1), answers: [2.823529411764706]
 -12    0    0    0   10   (number of answers: 0), answers: []
   0    0  -21    0   44   (number of answers: 0), answers: []
 -80    0   40    0   56   (number of answers: 0), answers: []
  12  -36    0   (number of answers: 1), answers: [-0.0]
 -19    0  -32   (number of answers: 0), answers: []
 -19  -24  -20   (number of answers: 1), answers: [-0.8333333333333334]
  42    0    0    0   -6   (number of answers: 0), answers: []
 -28    0  -48    0   12   (number of answers: 0), answers: []
   0    0    0    0   69   (number of answers: 0), answers: []
   3  -16   60   (number of answers: 1), answers: [3.75]
   0   -4    0   (number of answers: 1), answers: [-0.0]
  60  -40   57   (number of answers: 1), answers: [1.425]
   9  -11   (number of answers: 1), answers: [1.2222222222222223]
   9  -84   (number of answers: 1), answers: [9.333333333333334]
  21    8   12   (number of answers: 1), answers: [-1.5]
  69  -51 -100   (number of answers: 1), answers: [-1.9607843137254901]
  -5  -36  -38   (number of answers: 1), answers: [-1.0555555555555556]
   0    0    0    0   19   (number of answers: 0), answers: []
  28    0   45    0  -42   (number of answers: 0), answers: []
   0    0   18    0    0   (number of answers: 1), answers: [0.0]
  66   42   (number of answers: 1), answers: [-0.6363636363636364]
   0  -10   (number of answers: 0), answers: []
 -36  -10    0   (number of answers: 1), answers: [-0.0]
   0   10   -9   (number of answers: 1), answers: [0.9]
  46   16  -16   (number of answers: 1), answers: [1.0]
 -20    0  -42    0    9   (number of answers: 0), answers: []
 -42    0  -44    0   -7   (number of answers: 0), answers: []
 -21    0    0    0   52   (number of answers: 0), answers: []
  42   10   (number of answers: 1), answers: [-0.23809523809523808]
  20    0   (number of answers: 1), answers: [0.0]
  75   24    0   (number of answers: 1), answers: [0.0]
  48   30  -12   (number of answers: 1), answers: [0.4]
 -24  -18  -75   (number of answers: 1), answers: [-4.166666666666667]
  12    6   -2   (number of answers: 1), answers: [0.3333333333333333]
  30    8    0   (number of answers: 1), answers: [0.0]
  44    6  -42   (number of answers: 1), answers: [7.0]
  33   -8   (number of answers: 1), answers: [0.24242424242424243]
 -10  -32   (number of answers: 1), answers: [-3.2]
   0    0    0infinite number of answers
   0  -20  -15   (number of answers: 1), answers: [-0.75]
   0   44   10   (number of answers: 1), answers: [-0.22727272727272727]
   0    0  -48    0    4   (number of answers: 0), answers: []
  14    0  -50    0  -48   (number of answers: 0), answers: []
 -40    0   23    0   63   (number of answers: 0), answers: []
   2   23   (number of answers: 1), answers: [-11.5]
   0  -16   (number of answers: 0), answers: []
  16    0  -16    0  -63   (number of answers: 0), answers: []
 -32    0   -8    0  -36   (number of answers: 0), answers: []
   0    0  -40    0  -36   (number of answers: 0), answers: []
   0  -18   (number of answers: 0), answers: []
  14   39   (number of answers: 1), answers: [-2.7857142857142856]
  66  -20   (number of answers: 1), answers: [0.30303030303030304]
  22  -34   (number of answers: 1), answers: [1.5454545454545454]
 -51   54  -72   (number of answers: 1), answers: [1.3333333333333333]
   0    0    0infinite number of answers
  42   21  -56   (number of answers: 1), answers: [2.6666666666666665]
   0    0  -51    0   39   (number of answers: 0), answers: []
   0    0  -66    0  -51   (number of answers: 0), answers: []
 -12    0  -88    0    0   (number of answers: 1), answers: [0.0]
  69    0  -12    0  -96   (number of answers: 0), answers: []
  10    0    8    0    0   (number of answers: 1), answers: [0.0]
 -21    0    0    0    0infinite number of answers
  75   92   (number of answers: 1), answers: [-1.2266666666666666]
   0   10   (number of answers: 0), answers: []
  24    0   56    0   20   (number of answers: 0), answers: []
  17    0   96    0   13   (number of answers: 0), answers: []
  25    0  -16    0    0   (number of answers: 1), answers: [0.0]
  -3  -15    0   (number of answers: 1), answers: [-0.0]
  16    0  -13   (number of answers: 0), answers: []
  -2   12  -75   (number of answers: 1), answers: [6.25]
   0    0    3    0    6   (number of answers: 0), answers: []
 -20    0   -4    0  -12   (number of answers: 0), answers: []
 -19    0    6    0   16   (number of answers: 0), answers: []
   0    6   (number of answers: 0), answers: []
 -26   -8   (number of answers: 1), answers: [-0.3076923076923077]
  -9   16   75   (number of answers: 1), answers: [-4.6875]
   8  -44    1   (number of answers: 1), answers: [0.022727272727272728]
  -6  -22   24   (number of answers: 1), answers: [1.0909090909090908]
   0  -38   (number of answers: 0), answers: []
   0    0infinite number of answers
  30    0    0    0  -34   (number of answers: 0), answers: []
  13    0  -24    0   24   (number of answers: 0), answers: []
  21    0   28    0  -36   (number of answers: 0), answers: []
 -48    0   (number of answers: 1), answers: [-0.0]
  20  -30   (number of answers: 1), answers: [1.5]
 -72  -76   -1   (number of answers: 1), answers: [-0.013157894736842105]
   0    0 -100   (number of answers: 0), answers: []
 -26   27  -14   (number of answers: 1), answers: [0.5185185185185185]
   0  -64   (number of answers: 0), answers: []
  22  -11   (number of answers: 1), answers: [0.5]
  69  -36   (number of answers: 1), answers: [0.5217391304347826]
  -8   10   (number of answers: 1), answers: [1.25]
   9    0    0    0   36   (number of answers: 0), answers: []
   0    0   -5    0    1   (number of answers: 0), answers: []
 -10    0   38    0    0   (number of answers: 1), answers: [0.0]
 -24   -9   16   (number of answers: 1), answers: [1.7777777777777777]
   6   11  -18   (number of answers: 1), answers: [1.6363636363636365]
  16    0   16   (number of answers: 0), answers: []
  30    0    8   (number of answers: 0), answers: []
  14  -42   12   (number of answers: 1), answers: [0.2857142857142857]
  -4  -20   44   (number of answers: 1), answers: [2.2]
 -25   44   (number of answers: 1), answers: [1.76]
   0  -48   (number of answers: 0), answers: []
   0    0  -33    0  -48   (number of answers: 0), answers: []
   0    0   88    0  -33   (number of answers: 0), answers: []
   4    0  -24    0    0   (number of answers: 1), answers: [0.0]
  46    8   (number of answers: 1), answers: [-0.17391304347826086]
 -36  -92   (number of answers: 1), answers: [-2.5555555555555554]
-100    4    0   (number of answers: 1), answers: [0.0]
  -4  -44  -63   (number of answers: 1), answers: [-1.4318181818181819]
  20  -12    0   (number of answers: 1), answers: [-0.0]
 -28    0    0    0    9   (number of answers: 0), answers: []
 -72    0   18    0  -32   (number of answers: 0), answers: []
   0    0  -23    0  -21   (number of answers: 0), answers: []
   0   32   63   (number of answers: 1), answers: [-1.96875]
  24    0  -36   (number of answers: 0), answers: []
   0   36    0   (number of answers: 1), answers: [0.0]
   0    0  -12   (number of answers: 0), answers: []
 -15  -20    0   (number of answers: 1), answers: [-0.0]
  32   51  -32   (number of answers: 1), answers: [0.6274509803921569]
  -4   45   (number of answers: 1), answers: [11.25]
 -15  -26   (number of answers: 1), answers: [-1.7333333333333334]
  28   18   (number of answers: 1), answers: [-0.6428571428571429]
  60  -75   (number of answers: 1), answers: [1.25]
 -15    0    0    0   13   (number of answers: 0), answers: []
  21    0  -57    0  -60   (number of answers: 0), answers: []
  36    0  -20    0    6   (number of answers: 0), answers: []
 -17    0    0    0   21   (number of answers: 0), answers: []
   0    0    0    0   69   (number of answers: 0), answers: []
   4    0  -68    0   15   (number of answers: 0), answers: []
 -14  -63   (number of answers: 1), answers: [-4.5]
   3  -66   (number of answers: 1), answers: [22.0]
 -27    0    1   (number of answers: 0), answers: []
  26   16  -42   (number of answers: 1), answers: [2.625]
   0   42   42   (number of answers: 1), answers: [-1.0]
 -63    0   (number of answers: 1), answers: [-0.0]
   5  -20   (number of answers: 1), answers: [4.0]
  -3    0   (number of answers: 1), answers: [-0.0]
  46   22   (number of answers: 1), answers: [-0.4782608695652174]
   0    3   (number of answers: 0), answers: []
   6  -12   (number of answers: 1), answers: [2.0]
 -56    0   21    0   12   (number of answers: 0), answers: []
   0    0   48    0  -21   (number of answers: 0), answers: []
  54    0  -44    0  -33   (number of answers: 0), answers: []
   6    0   48    0  -22   (number of answers: 0), answers: []
   6    0   27    0  -54   (number of answers: 0), answers: []
 -60    0    0    0    0infinite number of answers
  60    0   16    0   -4   (number of answers: 0), answers: []
  96    0   48    0    0   (number of answers: 1), answers: [0.0]
  92    0    0    0    0infinite number of answers
   8    0   28    0  -96   (number of answers: 0), answers: []
  -9    0   -4    0    0   (number of answers: 1), answers: [0.0]
   4    0   16    0    0   (number of answers: 1), answers: [0.0]
